username,engagement_level,timestamp,activity_type,room,object,duration,details
Manuella Martins,1,2024-01-01 00:02:44,movement,Classroom,,00:02:44,Moved to Classroom
Manuella Martins,1,2024-01-01 00:03:20,interaction,Classroom,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-01-01 00:06:04,movement,Laboratory,,00:02:44,Moved from Classroom to Laboratory
Manuella Martins,1,2024-01-01 00:06:40,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-04 00:00:36,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-04 00:01:12,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-07 00:00:36,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-01-07 00:03:20,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-01-07 00:03:56,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-01-10 00:00:36,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-01-10 00:03:20,movement,Laboratory,,00:02:44,Moved from Auditorium to Laboratory
Manuella Martins,1,2024-01-10 00:03:56,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-01-11 00:00:36,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-11 00:03:20,movement,Classroom,,00:02:44,Moved from Laboratory to Classroom
Manuella Martins,1,2024-01-11 00:03:56,interaction,Classroom,Desk,00:00:36,Interacted with Desk
Manuella Martins,1,2024-01-13 00:02:44,movement,Laboratory,,00:02:44,Moved from Classroom to Laboratory
Manuella Martins,1,2024-01-13 00:03:20,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-13 00:06:04,movement,Library,,00:02:44,Moved from Laboratory to Library
Manuella Martins,1,2024-01-13 00:06:40,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-01-17 00:02:44,movement,Auditorium,,00:02:44,Moved from Library to Auditorium
Manuella Martins,1,2024-01-17 00:03:20,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-01-17 00:06:04,movement,Laboratory,,00:02:44,Moved from Auditorium to Laboratory
Manuella Martins,1,2024-01-17 00:06:40,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-18 00:02:44,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-01-18 00:03:20,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-01-18 00:06:04,movement,Classroom,,00:02:44,Moved from Auditorium to Classroom
Manuella Martins,1,2024-01-18 00:06:40,interaction,Classroom,Desk,00:00:36,Interacted with Desk
Manuella Martins,1,2024-01-22 00:00:36,interaction,Classroom,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-22 00:03:20,movement,Library,,00:02:44,Moved from Classroom to Library
Manuella Martins,1,2024-01-22 00:03:56,interaction,Library,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-23 00:02:44,movement,Laboratory,,00:02:44,Moved from Library to Laboratory
Manuella Martins,1,2024-01-23 00:03:20,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-01-23 00:06:04,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-01-23 00:06:40,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-01-24 00:02:44,movement,Laboratory,,00:02:44,Moved from Auditorium to Laboratory
Manuella Martins,1,2024-01-24 00:03:20,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-01-24 00:06:04,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-01-24 00:06:40,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-01-25 00:02:44,movement,Library,,00:02:44,Moved from Auditorium to Library
Manuella Martins,1,2024-01-25 00:03:20,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-01-25 00:03:56,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-01-26 00:02:44,movement,Laboratory,,00:02:44,Moved from Library to Laboratory
Manuella Martins,1,2024-01-26 00:03:20,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-01-26 00:03:56,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-01-28 00:02:44,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-01-28 00:03:20,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-01-28 00:06:04,movement,Laboratory,,00:02:44,Moved from Auditorium to Laboratory
Manuella Martins,1,2024-01-28 00:06:40,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-01-31 00:02:44,movement,Library,,00:02:44,Moved from Laboratory to Library
Manuella Martins,1,2024-01-31 00:03:20,interaction,Library,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-01-31 00:03:56,interaction,Library,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-02-01 00:02:44,movement,Classroom,,00:02:44,Moved from Library to Classroom
Manuella Martins,1,2024-02-01 00:03:20,interaction,Classroom,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-02-01 00:06:04,movement,Library,,00:02:44,Moved from Classroom to Library
Manuella Martins,1,2024-02-01 00:06:40,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-02-02 00:02:44,movement,Laboratory,,00:02:44,Moved from Library to Laboratory
Manuella Martins,1,2024-02-02 00:03:20,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-02-02 00:03:56,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-02-06 00:00:36,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-02-06 00:03:20,movement,Library,,00:02:44,Moved from Laboratory to Library
Manuella Martins,1,2024-02-06 00:03:56,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-02-08 00:00:36,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-02-08 00:03:20,movement,Laboratory,,00:02:44,Moved from Library to Laboratory
Manuella Martins,1,2024-02-08 00:03:56,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-02-09 00:02:44,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-02-09 00:03:20,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-02-09 00:03:56,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-02-11 00:00:36,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-02-11 00:01:12,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-02-12 00:02:44,movement,Laboratory,,00:02:44,Moved from Auditorium to Laboratory
Manuella Martins,1,2024-02-12 00:03:20,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-02-12 00:03:56,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-02-18 00:00:36,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-02-18 00:03:20,movement,Classroom,,00:02:44,Moved from Laboratory to Classroom
Manuella Martins,1,2024-02-18 00:03:56,interaction,Classroom,Desk,00:00:36,Interacted with Desk
Manuella Martins,1,2024-02-25 00:02:44,movement,Library,,00:02:44,Moved from Classroom to Library
Manuella Martins,1,2024-02-25 00:03:20,interaction,Library,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-02-25 00:03:56,interaction,Library,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-02-26 00:00:36,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-02-26 00:01:12,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-02-27 00:00:36,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-02-27 00:03:20,movement,Auditorium,,00:02:44,Moved from Library to Auditorium
Manuella Martins,1,2024-02-27 00:03:56,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-02-28 00:00:36,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-02-28 00:01:12,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-02-29 00:00:36,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-02-29 00:01:12,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-03-02 00:02:44,movement,Laboratory,,00:02:44,Moved from Auditorium to Laboratory
Manuella Martins,1,2024-03-02 00:03:20,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-02 00:06:04,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-03-02 00:06:40,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-03-05 00:00:36,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-03-05 00:03:20,movement,Classroom,,00:02:44,Moved from Auditorium to Classroom
Manuella Martins,1,2024-03-05 00:03:56,interaction,Classroom,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-03-06 00:00:36,interaction,Classroom,Desk,00:00:36,Interacted with Desk
Manuella Martins,1,2024-03-06 00:03:20,movement,Library,,00:02:44,Moved from Classroom to Library
Manuella Martins,1,2024-03-06 00:03:56,interaction,Library,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-08 00:02:44,movement,Laboratory,,00:02:44,Moved from Library to Laboratory
Manuella Martins,1,2024-03-08 00:03:20,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-08 00:03:56,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-09 00:00:36,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-09 00:01:12,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-10 00:00:36,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-10 00:03:20,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-03-10 00:03:56,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-03-15 00:02:44,movement,Laboratory,,00:02:44,Moved from Auditorium to Laboratory
Manuella Martins,1,2024-03-15 00:03:20,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-15 00:03:56,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-18 00:00:36,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-18 00:01:12,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-19 00:02:44,movement,Classroom,,00:02:44,Moved from Laboratory to Classroom
Manuella Martins,1,2024-03-19 00:03:20,interaction,Classroom,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-19 00:03:56,interaction,Classroom,Desk,00:00:36,Interacted with Desk
Manuella Martins,1,2024-03-20 00:02:44,movement,Library,,00:02:44,Moved from Classroom to Library
Manuella Martins,1,2024-03-20 00:03:20,interaction,Library,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-20 00:06:04,movement,Auditorium,,00:02:44,Moved from Library to Auditorium
Manuella Martins,1,2024-03-20 00:06:40,interaction,Auditorium,Chair,00:00:36,Interacted with Chair
Manuella Martins,1,2024-03-22 00:00:36,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-03-22 00:01:12,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-03-24 00:02:44,movement,Laboratory,,00:02:44,Moved from Auditorium to Laboratory
Manuella Martins,1,2024-03-24 00:03:20,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-24 00:03:56,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-25 00:00:36,interaction,Laboratory,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-25 00:03:20,movement,Library,,00:02:44,Moved from Laboratory to Library
Manuella Martins,1,2024-03-25 00:03:56,interaction,Library,Computer,00:00:36,Interacted with Computer
Manuella Martins,1,2024-03-27 00:02:44,movement,Classroom,,00:02:44,Moved from Library to Classroom
Manuella Martins,1,2024-03-27 00:03:20,interaction,Classroom,Desk,00:00:36,Interacted with Desk
Manuella Martins,1,2024-03-27 00:06:04,movement,Laboratory,,00:02:44,Moved from Classroom to Laboratory
Manuella Martins,1,2024-03-27 00:06:40,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-03-29 00:02:44,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
Manuella Martins,1,2024-03-29 00:03:20,interaction,Auditorium,Screen,00:00:36,Interacted with Screen
Manuella Martins,1,2024-03-29 00:06:04,movement,Classroom,,00:02:44,Moved from Auditorium to Classroom
Manuella Martins,1,2024-03-29 00:06:40,interaction,Classroom,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-04-01 00:02:44,movement,Library,,00:02:44,Moved from Classroom to Library
Manuella Martins,1,2024-04-01 00:03:20,interaction,Library,Book,00:00:36,Interacted with Book
Manuella Martins,1,2024-04-01 00:06:04,movement,Laboratory,,00:02:44,Moved from Library to Laboratory
Manuella Martins,1,2024-04-01 00:06:40,interaction,Laboratory,Microscope,00:00:36,Interacted with Microscope
Manuella Martins,1,2024-04-03 00:02:44,movement,Auditorium,,00:02:44,Moved from Laboratory to Auditorium
