username,Total Interaction Time,Interaction Frequency,Interaction Diversity,Interaction Depth,Engagement Score,Engagement Level
Alexandre Rocha,0.17462138595686094,0.2857142857142857,1.0,0.15312284843119894,0.1750880598431081,1
Alexia Vasconcelos,0.22700154366056155,0.2857142857142857,1.0,0.350703255630963,0.2275635746326361,2
Alice da Conceição,0.2873086069506446,0.42857142857142855,1.0,0.2440542933018589,0.28791172797140696,2
Ana Cecília Ferreira,0.0,0.0,1.0,0.0,0.0,1
Ana Lívia Cirino,0.11462722683466144,0.14285714285714285,1.0,0.26940100324579525,0.11506824090423286,2
Ana Sophia Viana,0.12780049230255747,0.14285714285714285,1.0,0.3439362643847743,0.12830918754648354,2
Anna Liz Albuquerque,0.3379260711752681,0.2857142857142857,1.0,0.7691157666961739,0.33869003815048365,3
Arthur Costa,0.8437252284200426,0.7142857142857143,1.0,0.9593390380643259,0.843945800646201,3
Arthur Gabriel Fonseca,0.2945992740623305,0.42857142857142855,1.0,0.2646798465624078,0.29520357498931016,2
Arthur Miguel da Mata,0.4037506779590304,0.5714285714285714,1.0,0.30711124225435227,0.40442314206567553,2
Augusto Pereira,0.9632754808294046,0.8571428571428571,1.0,0.9072208405345026,0.9633478539618967,3
Ayla Brito,0.8652843255872168,0.7142857142857143,1.0,1.0,0.8654726280427794,3
Benjamim Cavalcanti,0.8174412783178272,0.7142857142857143,1.0,0.909766892888758,0.8177011924994291,3
Bárbara Mendes,0.3229379615336476,0.42857142857142855,1.0,0.3448509884921806,0.32354684873415007,2
Bárbara Novaes,0.7914806625224248,0.7142857142857143,1.0,0.8608045637847941,0.7917794346909705,3
Calebe Brito,0.39315365680670866,0.2857142857142857,1.0,0.9774368053506443,0.39401816455640765,3
Carolina Aragão,0.01352789019149735,0.0,1.0,0.15308350545883742,0.013732021002092412,1
Carolina Pires,0.3645333555842964,0.5714285714285714,1.0,0.21835349660666864,0.36523850136863795,2
Carolina das Neves,0.3083253368934874,0.42857142857142855,1.0,0.30351136028326947,0.3089318592175801,2
Catarina Silveira,0.2278985356084943,0.2857142857142857,1.0,0.35408675125405725,0.22846219953743488,2
Daniel Garcia,0.07024698568984938,0.14285714285714285,1.0,0.01829448214812626,0.07045998440163842,1
Daniel Pinto,0.5313217072051399,0.42857142857142855,1.0,0.9343759221009147,0.5319643187923602,3
Davi Lucas Lima,0.39478075847970295,0.5714285714285714,1.0,0.28681026851578634,0.39546069765092756,2
Davi Lucas Montenegro,0.21030289123451124,0.2857142857142857,1.0,0.2877151568801023,0.21083452262585906,2
Davi Luiz Caldeira,0.9981747256873461,0.8571428571428571,1.0,0.9636386629009821,0.9981783227615256,3
Davi Machado,0.37237682005924316,0.5714285714285714,1.0,0.23610504573620544,0.37307542950804545,2
Davi das Neves,0.1550231549084234,0.2857142857142857,1.0,0.07919740336382407,0.15545415058593504,1
Diego Almeida,0.36595185447870165,0.5714285714285714,1.0,0.22156388315137215,0.36665581815980736,2
Diogo Fogaça,0.9235262213692687,0.8571428571428571,1.0,0.8429625258188255,0.9236769285000359,3
Fernando Andrade,0.019660811882014267,0.0,1.0,0.22248450870463257,0.019957486190396466,1
Fernando Novais,0.07296925195043598,0.14285714285714285,1.0,0.03369725582767783,0.0731962370331724,1
Gabriel Vargas,0.19977888105469566,0.2857142857142857,1.0,0.24801809776728637,0.20029135368467355,2
Gabriela Martins,0.681035921398473,0.5714285714285714,1.0,0.9346709943936264,0.6814773103983206,3
Gabrielly Vargas,0.11354249238599858,0.14285714285714285,1.0,0.26326349955739164,0.1139779333422423,2
Gael Henrique da Costa,0.3787913555008553,0.5714285714285714,1.0,0.2506226025376217,0.3794846194092896,2
Giovanna Ferreira,0.20301222412282532,0.2857142857142857,1.0,0.26021441919937055,0.20353058299266907,2
Hadassa Aragão,0.2981246610204848,0.42857142857142855,1.0,0.2746532900560637,0.29872953248866824,2
Helena Rios,0.3680691726813801,0.2857142857142857,1.0,0.8828169568210877,0.36888801460244214,3
Helena da Mata,0.31375943927573113,0.42857142857142855,1.0,0.3188846267335497,0.3143668410435137,2
Isabel Barbosa,0.17025115774542116,0.2857142857142857,1.0,0.13663814301170457,0.1707098757139141,1
Isabel Souza,0.2049105094079853,0.2857142857142857,1.0,0.26737484016917484,0.20543232407026646,2
Isis Fonseca,0.2668238140932037,0.42857142857142855,1.0,0.18610209501327823,0.26742361989821384,2
Jade Melo,0.11629604906337353,0.14285714285714285,1.0,0.2788433166125701,0.11674563715344909,2
José Silveira,0.09783470315824606,0.14285714285714285,1.0,0.17438772499262328,0.0981894411464944,2
João Lucas Macedo,0.9697525971045934,0.8571428571428571,1.0,0.9176916916073009,0.9698122057624255,3
João Vitor Sousa,0.01663607159247361,0.0,1.0,0.1882561227500738,0.01688710369956623,1
Júlia Cunha,0.5359526888898161,0.42857142857142855,1.0,0.947477131897315,0.5365960499453631,3
Kevin Castro,0.187794651424757,0.2857142857142857,1.0,0.20281302252385172,0.18828530699149,2
Lara Mendonça,0.5270975009387125,0.42857142857142855,1.0,0.9224254942460904,0.5277394288892832,3
Lavínia Cirino,0.17529934498727523,0.2857142857142857,1.0,0.15568014163470048,0.17576725308510718,1
Lavínia Martins,0.9889231924569235,0.8571428571428571,1.0,0.9486827129789654,0.9889450215585158,3
Leonardo Martins,0.19700446409946182,0.2857142857142857,1.0,0.23755286711911083,0.19751188595587735,2
Liam Andrade,0.5408861446034461,0.42857142857142855,1.0,0.9614340513425791,0.5415303040790801,3
Liz Monteiro,0.40644165380282865,0.5714285714285714,1.0,0.31320153437592213,0.4071118753900999,2
Lorenzo Silva,1.0,0.8571428571428571,1.0,0.9665893858280992,1.0,3
Lucas Correia,0.0840982101881597,0.14285714285714285,1.0,0.09666568309235761,0.08438237327013322,1
Lucas Cunha,0.023676415369852728,0.0,0.0,0.2679256417822367,0.024032530309865473,1
Luiz Felipe da Cunha,0.657307355333973,0.5714285714285714,1.0,0.8809678371200943,0.657768518487214,3
Luiz Henrique Carvalho,0.10607451291251199,0.14285714285714285,1.0,0.221009147241074,0.10647158512699961,2
Lívia Brito,0.12280445575535066,0.14285714285714285,1.0,0.3156683387429921,0.12328748252539244,2
Manuela Siqueira,0.35942258750886563,0.2857142857142857,1.0,0.850201632733353,0.36022568848525405,3
Maria Eduarda Lopes,0.10614752388501815,0.14285714285714285,1.0,0.22142224845087055,0.10654497121290282,2
Maria Flor Nascimento,0.10606408277358255,0.14285714285714285,1.0,0.22095013278253173,0.10646110140044199,2
Maria Isis Oliveira,0.231549084233802,0.2857142857142857,1.0,0.36785679158060397,0.23211939391742983,2
Maria Júlia Cunha,0.5403959280737619,0.42857142857142855,1.0,0.9600472115668339,0.5410400082137847,3
Maria Luiza Azevedo,0.38447578121740583,0.5714285714285714,1.0,0.26348775449985246,0.3851643080209613,2
Mariane Moura,0.39410279944928867,0.5714285714285714,1.0,0.28527589259368547,0.3947833035963245,2
Matheus Cassiano,0.17544536693228754,0.2857142857142857,1.0,0.15623094324776235,0.17591354086030694,1
Maya Teixeira,0.3754119904877133,0.5714285714285714,1.0,0.2429743287105341,0.3761080705832683,2
Melina Duarte,0.9877341566189661,0.8571428571428571,1.0,0.9467605277578722,0.9877583289574525,3
Melina Ferreira,0.28496182569151823,0.42857142857142855,1.0,0.23741516671584534,0.285564566914142,2
Melina Vargas,0.3923922566648588,0.2857142857142857,1.0,0.9745647683682502,0.39325537830000873,3
Mirella Castro,0.8116108306562644,0.7142857142857143,1.0,0.8987705321137013,0.8118794718827442,3
Nicolas Sá,0.28136342776085776,0.42857142857142855,1.0,0.22723517261729123,0.2819655866263356,2
Noah Moraes,0.16939588635320624,0.2857142857142857,1.0,0.1334120192780564,0.1698530473163153,1
Olivia da Rocha,0.11554507906045308,0.14285714285714285,1.0,0.2745942755975214,0.11599080884130177,2
Paulo Gonçalves,0.11675497517626934,0.14285714285714285,1.0,0.28143995278843315,0.11720692112198354,2
Paulo Peixoto,0.2199716300221119,0.2857142857142857,1.0,0.32418609225927025,0.22052086316944577,2
Pietro Nogueira,0.40060077600233635,0.5714285714285714,1.0,0.2999822956624373,0.40127586507351987,2
Ravy Camargo,0.08279444282197838,0.14285714285714285,1.0,0.08928887577456475,0.08307190745043302,1
Rebeca Alves,0.020244899662063498,0.0,1.0,0.22909412806137502,0.0205503876369016,1
Rebeca Correia,0.1117902290458509,0.14285714285714285,1.0,0.253349070522278,0.11221666728056523,2
Rhavi Martins,0.3726688639492678,0.5714285714285714,1.0,0.23676600767187966,0.37336723002387445,2
Samuel Machado,0.39667904376486296,0.5714285714285714,1.0,0.291106521097669,0.3973574010038161,2
Samuel Sampaio,0.3608410864032709,0.5714285714285714,1.0,0.2099970492770729,0.3615493091327998,2
Sarah Brito,0.3922566648587759,0.2857142857142857,1.0,0.97405330972755,0.39311953965160895,3
Sarah Caldeira,0.8248049564020192,0.7142857142857143,1.0,0.9236549621323891,0.8250538485913421,3
Sofia Montenegro,0.08564187074971838,0.14285714285714285,1.0,0.10539982295662446,0.08593396480065825,1
Sophia das Neves,0.8423067295256372,0.7142857142857143,1.0,0.9566637159437397,0.8425294249684387,3
Stephany Pinto,0.6787100004172055,1.0,1.0,0.29650339333136627,0.6795971163197784,2
Thales Camargo,0.0819078810129751,0.14285714285714285,1.0,0.08427264679846563,0.08218079069303691,1
Thales Garcia,0.1717635278901915,0.2857142857142857,1.0,0.14234287400413104,0.172224999099912,1
Thomas da Mata,0.39067128374149945,0.2857142857142857,1.0,0.9680731779285927,0.3915312723780111,3
Valentim Albuquerque,0.3956777504276357,0.5714285714285714,1.0,0.2888403658896429,0.3963569420924024,2
Vicente Aparecida,0.30300596603946767,0.42857142857142855,1.0,0.28846267335497194,0.3036116274877794,2
Vinícius Lima,0.3993804497475906,0.5714285714285714,1.0,0.2972204190026557,0.4000565557752344,2
Vitor Pastor,0.38415244691059286,0.2857142857142857,1.0,0.9434838202026163,0.3850005681280201,3
Vitor da Rocha,0.39092160707580625,0.2857142857142857,1.0,0.96901740926527,0.39178205142121075,3
Yan Vargas,0.16853018482206183,0.2857142857142857,1.0,0.13014655257204688,0.16898576979191648,1
