username,Total Interaction Time,Interaction Frequency,Interaction Diversity,Interaction Depth,Engagement Score,Engagement Level
Alana Aparecida,0.02659672712496768,0.0,0.9,0.2789076118535735,0.02675385661301452,1
Alexia Mendes,0.1166984173891935,0.16666666666666666,0.9,0.28967101076339885,0.11702628505145232,2
Ana Cecília da Mata,0.565797875428107,0.5,0.9,1.0,0.5660319340564075,3
Ana Júlia Nogueira,0.3902647535317182,0.6666666666666666,0.9,0.3029689272571318,0.3910735845406905,2
Anthony Gabriel Aparecida,0.6970981070940437,0.6666666666666666,0.9,0.9464929027973771,0.6972749422699319,3
Anthony Machado,0.11972748908953704,0.16666666666666666,0.9,0.3055532497717274,0.12005816805953612,2
Anthony Rezende,0.5482303149917941,0.5,0.9,0.9539442738164412,0.548491809972566,3
Aurora Santos,0.12757985614547987,0.16666666666666666,0.9,0.3467253258072549,0.1279178229655094,2
Aylla Ramos,0.6771875016491026,0.6666666666666666,0.9,0.9047342353559671,0.6774053474241624,3
Aylla Rodrigues,0.22887961286986075,0.3333333333333333,0.9,0.3704380066959962,0.22935524585571743,2
Benjamin da Costa,0.28962991498546153,0.5,0.9,0.2759884895271298,0.29029528230522667,2
Bruna Porto,0.4032675979039246,0.6666666666666666,0.9,0.33023989374948126,0.40404964648078495,2
Bárbara Cavalcanti,0.38533063847976484,0.6666666666666666,0.9,0.2926205694363742,0.38614963246520817,2
Caio Sousa,0.17643023372401673,0.3333333333333333,0.9,0.18710052295177218,0.1769442494416163,1
Camila Marques,0.20807189559729178,0.3333333333333333,0.9,0.29770436162068936,0.20856275578017655,2
Carlos Eduardo da Mota,0.5518715335862837,0.5,0.9,0.9634902188650012,0.552127341849361,3
Caroline Lima,0.016612400196309177,0.0,0.9,0.17420657978473206,0.016710543773367004,1
Cauã Aparecida,0.715552225101189,0.6666666666666666,0.9,0.9851968678232481,0.7156910496581261,3
Cauê Cavalcanti,0.8281239280832942,0.8333333333333334,0.9,0.9103419016260388,0.8282611353939573,3
Cauê Mendes,0.17720069447009715,0.3333333333333333,0.9,0.18979367846305675,0.17771414636046715,1
Cecilia Cavalcanti,0.32396291234162017,0.5,0.9,0.36599706704297064,0.3245746596826593,2
Davi Lucas Rios,0.39216451975493016,0.3333333333333333,0.9,0.9412025123820591,0.3925206599864265,3
Diego Aragão,0.399932452756508,0.3333333333333333,0.9,0.9683554227424072,0.4002829083737448,3
Diogo Souza,0.1778339498778345,0.3333333333333333,0.9,0.19200723093808514,0.17834693834856377,1
Eduarda Cunha,0.16137458640506183,0.3333333333333333,0.9,0.13447331285797293,0.16189961992461954,1
Eduarda da Conceição,0.3189496403636997,0.5,0.9,0.3528540992224897,0.31956921724359366,2
Eduardo Santos,0.9862794661656913,1.0,0.9,0.9251621624826573,0.9863155353879346,3
Emanuelly Duarte,0.22468429579360094,0.3333333333333333,0.9,0.3557732215489334,0.22516299893457745,2
Esther da Luz,0.9903323007752102,1.0,0.9,0.9312336206998781,0.9903577157041139,3
Evelyn da Paz,0.8288574489305899,0.8333333333333334,0.9,0.9116239174344929,0.8289929018653526,3
Francisco Leão,0.11864567776798578,0.16666666666666666,0.9,0.29988102155446716,0.11897535269950618,2
Gabriela Rocha,0.21489522261566146,0.3333333333333333,0.9,0.32155538953912,0.21538108945191745,2
Giovanna Rios,0.6818472060243698,0.6666666666666666,0.9,0.9145070695332174,0.6820554540366232,3
Guilherme Moraes,0.30062217343810194,0.5,0.9,0.30480617581140534,0.3012703734637253,2
Gustavo Carvalho,0.30835844366929294,0.5,0.9,0.3250878503638527,0.3089945614802203,2
Gustavo Casa Grande,0.30683335356232555,0.5,0.9,0.32108962120583273,0.30747185320138876,2
Gustavo da Mata,1.0,1.0,0.9,0.9457165783222063,1.0,3
Hellena Mendonça,0.021388201396328174,0.0,0.9,0.22428820453224865,0.02151455969296584,1
Hellena Souza,0.11935809010169027,0.16666666666666666,0.9,0.3036163913560776,0.11968842622928201,2
Heloisa Cunha,0.011118909534187876,0.0,0.9,0.11659887662211897,0.01118459838960746,1
